Transaction_ID,Category,Subcategory,Date_Categorized,Source
TXN_5D5027CE,Food & Dining,Groceries,2025-10-05 19:44:25,Rule: Supermarket Groceries
TXN_3C4A59C6,Food & Dining,Groceries,2025-10-05 19:44:25,Rule: Supermarket Groceries
TXN_E765F919,Food & Dining,Groceries,2025-10-05 19:44:25,Rule: Supermarket Groceries
TXN_EAAE25F6,Food & Dining,Groceries,2025-10-05 19:44:25,Rule: Supermarket Groceries
TXN_A112150C,Food & Dining,Groceries,2025-10-05 19:44:25,Rule: Supermarket Groceries
TXN_C2B59BCF,Food & Dining,Groceries,2025-10-05 19:44:25,Rule: Supermarket Groceries
TXN_453DE1FD,Food & Dining,Groceries,2025-10-05 19:44:25,Rule: Supermarket Groceries
TXN_E66D3163,Food & Dining,Groceries,2025-10-05 19:44:25,Rule: Supermarket Groceries
TXN_8BE82B51,Food & Dining,Groceries,2025-10-05 19:44:25,Rule: Supermarket Groceries
TXN_8838040F,Food & Dining,Groceries,2025-10-05 19:44:25,Rule: Supermarket Groceries
TXN_7235A05F,Food & Dining,Groceries,2025-10-05 19:44:25,Rule: Supermarket Groceries
TXN_083C4E98,Food & Dining,Groceries,2025-10-05 19:44:25,Rule: Supermarket Groceries
TXN_AA2EEAFC,Food & Dining,Groceries,2025-10-05 19:44:25,Rule: Supermarket Groceries
TXN_FBD5C26F,Food & Dining,Groceries,2025-10-05 19:44:25,Rule: Supermarket Groceries
TXN_5E603505,Food & Dining,Groceries,2025-10-05 19:44:25,Rule: Supermarket Groceries
TXN_F308759E,Food & Dining,Groceries,2025-10-05 19:44:25,Rule: Supermarket Groceries
TXN_F9CF98CB,Food & Dining,Groceries,2025-10-05 19:44:25,Rule: Supermarket Groceries
TXN_273584D2,Food & Dining,Groceries,2025-10-05 19:44:25,Rule: Supermarket Groceries
TXN_1908CA00,Food & Dining,Groceries,2025-10-05 19:44:25,Rule: Supermarket Groceries
TXN_92CAB02F,Food & Dining,Groceries,2025-10-05 19:44:25,Rule: Supermarket Groceries
TXN_663FE2F6,Food & Dining,Groceries,2025-10-05 19:44:25,Rule: Supermarket Groceries
TXN_5CD1A965,Food & Dining,Groceries,2025-10-05 19:44:25,Rule: Supermarket Groceries
TXN_928AAA44,Entertainment,Streaming & Media,2025-10-05 19:44:25,Rule: Streaming Services
TXN_7546C1BC,Entertainment,Streaming & Media,2025-10-05 19:44:25,Rule: Streaming Services
TXN_3C4A7973,Food & Dining,Groceries,2025-10-05 19:44:26,Rule: Supermarket Groceries
TXN_9485D099,Food & Dining,Groceries,2025-10-05 19:44:26,Rule: Supermarket Groceries
TXN_65A3F134,Food & Dining,Groceries,2025-10-05 19:44:26,Rule: Supermarket Groceries
TXN_C297A4D6,Food & Dining,Groceries,2025-10-05 19:44:26,Rule: Supermarket Groceries
TXN_66541E6A,Food & Dining,Groceries,2025-10-05 19:44:26,Rule: Supermarket Groceries
TXN_E1A152BE,Food & Dining,Groceries,2025-10-05 19:44:26,Rule: Supermarket Groceries
TXN_2D520EE4,Food & Dining,Groceries,2025-10-05 19:44:26,Rule: Supermarket Groceries
TXN_F2613339,Food & Dining,Groceries,2025-10-05 19:44:26,Rule: Supermarket Groceries
TXN_2B8CC5D0,Food & Dining,Groceries,2025-10-05 19:44:26,Rule: Supermarket Groceries
TXN_21106E28,Entertainment,Streaming & Media,2025-10-05 19:44:26,Rule: Streaming Services
TXN_9CAF9504,Entertainment,Streaming & Media,2025-10-05 19:44:26,Rule: Streaming Services
TXN_7A9D74FB,Food & Dining,Groceries,2025-10-05 19:44:26,Rule: Supermarket Groceries
TXN_BD2C2581,Food & Dining,Groceries,2025-10-05 19:44:26,Rule: Supermarket Groceries
TXN_57B68AB6,Food & Dining,Groceries,2025-10-05 19:44:26,Rule: Supermarket Groceries
TXN_2C55E0A1,Food & Dining,Groceries,2025-10-05 19:44:26,Rule: Supermarket Groceries
TXN_E07240DF,Food & Dining,Groceries,2025-10-05 19:44:26,Rule: Supermarket Groceries
TXN_E1C5F43B,Food & Dining,Groceries,2025-10-05 19:44:26,Rule: Supermarket Groceries
TXN_157E9CDB,Food & Dining,Groceries,2025-10-05 19:44:26,Rule: Supermarket Groceries
TXN_18224C21,Food & Dining,Groceries,2025-10-05 19:44:26,Rule: Supermarket Groceries
TXN_F159F494,Food & Dining,Groceries,2025-10-05 19:44:26,Rule: Supermarket Groceries
TXN_886DCAA2,Food & Dining,Groceries,2025-10-05 19:44:26,Rule: Supermarket Groceries
TXN_2800ED68,Food & Dining,Groceries,2025-10-05 19:44:26,Rule: Supermarket Groceries
TXN_D2BA9AA2,Food & Dining,Groceries,2025-10-05 19:44:26,Rule: Supermarket Groceries
TXN_2DD22A86,Food & Dining,Groceries,2025-10-05 19:44:26,Rule: Supermarket Groceries
TXN_44A1846A,Food & Dining,Groceries,2025-10-05 19:44:26,Rule: Supermarket Groceries
TXN_B03C695E,Food & Dining,Groceries,2025-10-05 19:44:26,Rule: Supermarket Groceries
